source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,Datasheet,datasheet
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,AXISM3905-RDomeCamera,axism3905-rdomecamera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,AXIS M3905-R Dome Camera,axis m3905-r dome camera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,For indoor surveillance onboard buses,for indoor surveillance onboard buses
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,This compact and discreet 2 MP onboard camera for indoor surveillance complies with transportation-industry,this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"regulations including fire-safety for buses. It can withstand vibrations and a wide range of temperatures. Additionally,","regulations including fire-safety for buses. it can withstand vibrations and a wide range of temperatures. additionally,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,with AXIS TP3826-E housing this dome camera can be mounted on the outside of a bus. Thanks to Lightfinder and,with axis tp3826-e housing this dome camera can be mounted on the outside of a bus. thanks to lightfinder and
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"Forensic WDR, it provides details even in challenging light conditions. With traffic light mode, it can distinguish the","forensic wdr, it provides details even in challenging light conditions. with traffic light mode, it can distinguish the"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,coloroftrafficlightsindarkscenes.OptionalM12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring,coloroftrafficlightsindarkscenes.optionalm12lensesareavailabletoadjustfieldofviewforcustomizedmonitoring
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,purposes.,purposes.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,"> Compact,ruggeddesign","> compact,ruggeddesign"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> Indoorcamera,> indoorcamera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> 88°Horizontalfieldofview,> 88°horizontalfieldofview
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> LightfinderandForensicWDR,> lightfinderandforensicwdr
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,1,> TrafficLightmode,> trafficlightmode
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXIS M3905-R Dome Camera,axis m3905-r dome camera
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Variants,variants
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,Video,video
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RRJ453.6mm,axism3905-rrj453.6mm
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RM123.6mm,axism3905-rm123.6mm
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,2,AXISM3905-RRJ452.8mm Videocompression,axism3905-rrj452.8mm videocompression
