normalized_feature,document_4,document_3,document_2,document_1
"(4:3)1280x960,800x600,640x480,512x384, (4:3)1920x1440,1600x1200,1280x960,800x600,640",missing,missing,present,missing
"(4:3)1984x1488*,1920x1440,1600x1200,1280 (4:3)2880x2160*,2560x1920,2304x1728,1920x1440,",missing,missing,present,missing
(4:3)35°–78° (4:3)11°–31°,missing,missing,present,missing
(dxh),missing,missing,present,missing
(h6xpdomecamera+cladp-1001),missing,missing,present,missing
(h6xpdomecamera+h6a-mt-npta1),missing,missing,present,missing
(h6xpdomecamera+h6a-mt-npta1+wlmt-1021),missing,missing,present,missing
(h6xpdomecamera+providedsurfacemount),missing,missing,present,missing
(highpower850nmleds) 25m(82ft)fullwide 40m(131ft)fullwide,missing,missing,present,missing
"(hxv)and (4:3)1984x1488 (4:3)2880x2160,2560x1920",missing,missing,present,missing
"(iec62676) (tripleexposure,20fpsorless)",missing,missing,present,missing
(nas),missing,missing,missing,present
"(nts),x.509certificatepki,host-basedfirewall",missing,missing,missing,present
"(tee),axisdeviceid,securekeystore,signedvideo, storage conditions",missing,missing,missing,present
"(tripleexposure,20fpsorless)",missing,missing,present,missing
*onlyavailableathalfframerateoftheprimarystream.,missing,missing,present,missing
/,present,present,missing,missing
0 lux with ir illuminators on,present,present,missing,missing
0.009 lux @ f1.9 (color),present,present,missing,missing
1,missing,missing,present,missing
"1. all our cameras record in ""adaptive quality,"" capturing both standard (sq) and high quality (hq) streams. sq video is stored up to the amount of retention specifi ed by",present,present,missing,missing
"1. all our cameras record in ""adaptive quality,"" capturing both standard and high quality streams. standard quality (sq) video is stored up to the amount of retention specified by",present,present,missing,missing
"1. werecommendamaximumof3uniquevideostreamspercameraorchannel,foroptimizeduserexperience,networkbandwidth,andstorage",missing,missing,missing,present
1/2.9”progressivescanrgbcmos 16:9:1920x1080to640x360,missing,missing,missing,present
10,missing,missing,present,missing
10.9-29,missing,missing,present,missing
"1024mbram,512mbflash",missing,missing,missing,present
104.3mm,present,present,missing,missing
11,missing,missing,present,missing
12,missing,missing,present,missing
146.0mm / 5.75in,present,present,missing,missing
"1analyticscapabilities,includingdetectionrange,mayvarybycameraline.pleaseconsulttheavigilonself-learningvideoanalyticsdesignguidefor",missing,missing,present,missing
1maxframerateof60fpsisonlyachievablewithhighframeratemodeenabled.highframeratemodewilldisableanalytics.,missing,missing,present,missing
1separatelicenserequired.,missing,missing,present,missing
2,missing,missing,present,missing
"2. lens distortion correction (ldc) crops the sensor fi eld of view to deliver a rectifi ed, undistorted output image.",present,present,missing,missing
"2. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware",missing,missing,missing,present
"2.8mm,f1.2:",missing,missing,missing,present
2.8mmlens doridefinition distance,missing,missing,missing,present
20250908-enrev2,missing,missing,present,missing
241g(0.53lb),missing,missing,missing,present
256bit),missing,missing,missing,present
2irilluminationpowermaybereducedathigheroperatingtemperatures.,missing,missing,present,missing
2thedetectionrangeislimitedtoupto8metersinloudenvironments.,missing,missing,present,missing
3,missing,missing,present,missing
3. fordetectionoftamperingattemptsinstaticandnon-crowdedscenes.,missing,missing,missing,present
